request_id,request_datetime,department,asset_id,asset_type,location,point_a,point_b,corridor_id,section_id,maintenance_type,defect_type,defect_reason,defect_severity,safety_risk,safety_risk_description,fault_description,required_duration_hours,required_workers,required_equipment,required_materials,due_date,status,created_at,created_by
REQ032,2026-08-30 13:15,Engineering,TRK003,Track,KM 128/2,Station A,Station B,C1,C1-S1,Corrective,Level Crossing Gate Lock,Mechanical Failure,High,High,Risk of derailing,Track joint defect,2.0,4,Track Machine,Locking Pins;Levers,2026-08-31,PENDING,2026-09-03 00:46:24,Employee
REQ033,2026-08-30 14:45,Traction,OHE001,OHE,KM 132/7,Station C,Station D,C2,C1-S1,Preventive,Tree Trimming near OHE,Vegetation Clearance,Medium,Medium,Risk of derailing,Track joint defect,3.0,6,Tower Wagon,Trimming Tools;Ropes,2026-09-02,COMPLETED,2026-09-03 00:46:24,Employee
REQ034,2026-08-31 08:00,Engineering,TRK004,Track,KM 148/4,Station E,Station F,C3,C1-S1,Corrective,Buffer Stop Inspection,Impact Wear,Medium,Medium,Risk of derailing,Track joint defect,2.0,5,Track Machine,Rubber Buffers;Fasteners,2026-09-02,COMPLETED,2026-09-03 00:46:24,Employee
REQ035,2026-08-31 09:30,S&T,SIG002,Signal,KM 145/3,Station E,Station F,C3,C1-S1,Corrective,Shunt Signal Aspect Fault,Wiring Loose,High,High,Risk of derailing,Track joint defect,1.5,3,Signal Testing Kit,Wiring Harness;Terminal,2026-09-01,PENDING,2026-09-03 00:46:24,Employee
REQ036,2026-08-31 11:00,Traction,OHE002,OHE,KM 142/1,Station D,Station E,C2,C1-S1,Corrective,Neutral Section Inspection,Arcing,High,High,Risk of derailing,Track joint defect,2.5,5,Tower Wagon,Arc Horns;Insulators,2026-09-01,PENDING,2026-09-03 00:46:24,Employee
REQ001,2026-08-24 08:30,Engineering,TRK001,Track,KM 125/4,Station A,Station B,COR001,C1-S1,Corrective,Rail Crack,Fatigue,Critical,High,Risk of derailing,Track joint defect,3.0,8,Track Machine;Inspection Vehicle,Rail Section;Fasteners,2026-08-27,COMPLETED,2026-08-30 13:52:09,None
REQ002,2026-08-24 09:15,S&T,SIG001,Signal,KM 130/2,Station B,Station C,COR001,C1-S1,Corrective,Signal Failure,Electrical Fault,High,High,Risk of derailing,Track joint defect,2.0,4,Signal Testing Kit,Cables;Connectors,2026-08-26,PENDING,2026-08-30 13:52:09,None
REQ003,2026-08-24 10:00,Traction,OHE001,OHE,KM 132/7,Station C,Station D,COR002,C1-S1,Preventive,Insulator Damage,Aging,Medium,Medium,Risk of derailing,Track joint defect,2.5,6,Tower Wagon,Insulator;Clamps,2026-08-30,COMPLETED,2026-08-30 13:52:09,None
REQ004,2026-08-24 10:45,Engineering,TRK002,Track,KM 140/1,Station D,Station E,COR002,C1-S1,Preventive,Track Wear,Normal Wear,Medium,Medium,Risk of derailing,Track joint defect,4.0,10,Track Machine,Rails;Fasteners,2026-09-02,PENDING,2026-08-30 13:52:09,None
REQ005,2026-08-24 11:20,S&T,SIG002,Signal,KM 145/3,Station E,Station F,COR003,C1-S1,Corrective,Signal Failure,Component Aging,High,High,Risk of derailing,Track joint defect,1.5,3,Signal Testing Kit,Relay;Cables,2026-08-25,PENDING,2026-08-30 13:52:09,None
REQ006,2026-08-29 10:45,Engineering,TRK003,Track,KM 128/2,Station A,Station B,C1,C1-S1,Corrective,Rail Joint Defect,Thermal Stress,High,High,Risk of derailing,Track joint defect,2.0,6,Track Machine,Fasteners,2026-08-30,PENDING,2026-08-30 13:52:09,None
